model_name,provider,dataset,weighted_score
Kimi K2 Thinking,Moonshot AI,Moonshot AI training dataset,71.72%
gpt-oss-120B (high),OpenAI,OpenAI training dataset,67.58%
MiniMax-M2,MiniMax,MiniMax training dataset,64.42%
DeepSeek V3.1 Terminus (Reasoning),DeepSeek,DeepSeek training dataset,62.74%
DeepSeek V3.2 Exp (Reasoning),DeepSeek,DeepSeek training dataset,61.56%
DeepSeek V3.1 (Reasoning),DeepSeek,DeepSeek training dataset,61.18%
Qwen3 235B A22B 2507 (Reasoning),Alibaba,Alibaba training dataset,60.84%
Qwen3 Max,Alibaba,Alibaba training dataset,60.82%
GLM-4.6 (Reasoning),Z AI,Z AI training dataset,60.39%
Doubao Seed Code,ByteDance Seed,ByteDance Seed training dataset,60.36%
gpt-oss-20B (high),OpenAI,OpenAI training dataset,59.43%
Apriel-v1.5-15B-Thinker,ServiceNow,ServiceNow training dataset,58.20%
Magistral Medium 1.2,Mistral,Mistral training dataset,56.95%
Qwen3 Next 80B A3B (Reasoning),Alibaba,Alibaba training dataset,56.73%
Seed-OSS-36B-Instruct,ByteDance Seed,ByteDance Seed training dataset,56.15%
GLM-4.5 (Reasoning),Z AI,Z AI training dataset,55.19%
DeepSeek R1 0528 (May '25),DeepSeek,DeepSeek training dataset,55.16%
Qwen3 VL 235B A22B (Reasoning),Alibaba,Alibaba training dataset,54.83%
GLM-4.5-Air,Z AI,Z AI training dataset,54.64%
Qwen3 VL 32B (Reasoning),Alibaba,Alibaba training dataset,54.35%
Qwen3 Max Thinking,Alibaba,Alibaba training dataset,53.81%
Cogito v2.1 (Reasoning),Deep Cogito,Deep Cogito training dataset,53.10%
Ring-1T,InclusionAI,InclusionAI training dataset,50.94%
Magistral Small 1.2,Mistral,Mistral training dataset,50.88%
Llama Nemotron Super 49B v1.5 (Reasoning),NVIDIA,NVIDIA training dataset,50.61%
EXAONE 4.0 32B (Reasoning),LG AI Research,LG AI Research training dataset,50.30%
Kimi K2 0905,Moonshot AI,Moonshot AI training dataset,49.84%
Qwen3 VL 30B A3B (Reasoning),Alibaba,Alibaba training dataset,49.37%
Ling-1T,InclusionAI,InclusionAI training dataset,48.91%
gpt-oss-120B (low),OpenAI,OpenAI training dataset,48.90%
Qwen3 235B A22B (Reasoning),Alibaba,Alibaba training dataset,48.28%
Hermes 4 - Llama-3.1 405B (Reasoning),Nous Research,Nous Research training dataset,47.08%
Qwen3 4B 2507 (Reasoning),Alibaba,Alibaba training dataset,47.05%
Qwen3 Omni 30B A3B (Reasoning),Alibaba,Alibaba training dataset,46.63%
GLM-4.6 (Non-reasoning),Z AI,Z AI training dataset,46.52%
gpt-oss-20B (low),OpenAI,OpenAI training dataset,46.17%
MiniMax M1 80k,MiniMax,MiniMax training dataset,46.14%
NVIDIA Nemotron Nano 9B V2 (Reasoning),NVIDIA,NVIDIA training dataset,45.90%
Qwen3 Next 80B A3B Instruct,Alibaba,Alibaba training dataset,45.75%
Qwen3 VL 235B A22B Instruct,Alibaba,Alibaba training dataset,45.47%
Kimi K2,Moonshot AI,Moonshot AI training dataset,45.24%
DeepSeek V3.2 Exp (Non-reasoning),DeepSeek,DeepSeek training dataset,45.08%
Hermes 4 - Llama-3.1 70B (Reasoning),Nous Research,Nous Research training dataset,45.05%
Qwen3 235B A22B 2507 Instruct,Alibaba,Alibaba training dataset,45.03%
Ring-flash-2.0,InclusionAI,InclusionAI training dataset,44.92%
DeepSeek V3.1 Terminus (Non-reasoning),DeepSeek,DeepSeek training dataset,44.40%
Qwen3 30B A3B 2507 (Reasoning),Alibaba,Alibaba training dataset,44.39%
GLM-4.5V (Reasoning),Z AI,Z AI training dataset,43.65%
DeepSeek V3.1 (Non-reasoning),DeepSeek,DeepSeek training dataset,43.48%
NVIDIA Nemotron Nano 9B V2 (Non-reasoning),NVIDIA,NVIDIA training dataset,43.20%
Qwen3 32B (Reasoning),Alibaba,Alibaba training dataset,43.03%
DeepSeek R1 (Jan '25),DeepSeek,DeepSeek training dataset,43.02%
Ling-flash-2.0,InclusionAI,InclusionAI training dataset,42.77%
Llama 3.1 Nemotron Ultra 253B v1 (Reasoning),NVIDIA,NVIDIA training dataset,41.83%
Solar Pro 2 (Reasoning),Upstage,Upstage training dataset,41.83%
Qwen3 VL 32B Instruct,Alibaba,Alibaba training dataset,41.46%
Qwen3 Coder 480B A35B Instruct,Alibaba,Alibaba training dataset,40.82%
Qwen3 30B A3B (Reasoning),Alibaba,Alibaba training dataset,40.41%
Qwen3 VL 30B A3B Instruct,Alibaba,Alibaba training dataset,39.73%
Qwen3 30B A3B 2507 Instruct,Alibaba,Alibaba training dataset,38.63%
Qwen3 14B (Reasoning),Alibaba,Alibaba training dataset,38.25%
DeepSeek R1 0528 Qwen3 8B,DeepSeek,DeepSeek training dataset,35.06%
DeepSeek V3 0324,DeepSeek,DeepSeek training dataset,34.77%
QwQ 32B,Alibaba,Alibaba training dataset,34.52%
Mistral Medium 3.1,Mistral,Mistral training dataset,32.30%
Exaone 4.0 1.2B (Reasoning),LG AI Research,LG AI Research training dataset,32.19%
MiniMax M1 40k,MiniMax,MiniMax training dataset,32.12%
Llama 3.1 Nemotron Nano 4B v1.1 (Reasoning),NVIDIA,NVIDIA training dataset,31.22%
DeepSeek R1 Distill Qwen 32B,DeepSeek,DeepSeek training dataset,31.07%
DeepSeek R1 Distill Qwen 14B,DeepSeek,DeepSeek training dataset,31.00%
Qwen3 4B 2507 Instruct,Alibaba,Alibaba training dataset,30.80%
Qwen3 Omni 30B A3B Instruct,Alibaba,Alibaba training dataset,30.68%
Qwen3 14B (Non-reasoning),Alibaba,Alibaba training dataset,30.42%
ERNIE 4.5 300B A47B,Baidu,Baidu training dataset,29.83%
Qwen3 Coder 30B A3B Instruct,Alibaba,Alibaba training dataset,29.75%
Hermes 4 - Llama-3.1 405B (Non-reasoning),Nous Research,Nous Research training dataset,29.71%
Kimi Linear 48B A3B Instruct,Moonshot AI,Moonshot AI training dataset,29.55%
Codestral-Mamba,Mistral,Mistral training dataset,29.52%
Ling-mini-2.0,InclusionAI,InclusionAI training dataset,29.23%
EXAONE 4.0 32B (Non-reasoning),LG AI Research,LG AI Research training dataset,28.40%
Llama 3.3 Nemotron Super 49B v1 (Reasoning),NVIDIA,NVIDIA training dataset,28.12%
Solar Pro 2 (Non-reasoning),Upstage,Upstage training dataset,27.89%
DeepSeek LLM 67B Chat (V1),DeepSeek,DeepSeek training dataset,27.75%
DeepSeek R1 Distill Llama 70B,DeepSeek,DeepSeek training dataset,27.40%
Command-R (Mar '24),Cohere,Cohere training dataset,27.12%
Qwen2.5 Max,Alibaba,Alibaba training dataset,27.07%
Command-R (Aug '24),Cohere,Cohere training dataset,27.07%
Mistral 7B Instruct,Mistral,Mistral training dataset,26.91%
DeepSeek-OCR,DeepSeek,DeepSeek training dataset,26.31%
DeepSeek V3 (Dec '24),DeepSeek,DeepSeek training dataset,25.19%
Reka Flash 3,Reka AI,Reka AI training dataset,25.15%
